Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite
00000000000000;Index;01/08/2020;15/09/2021;Energie active;Consommation;Comptage Brut;Wh
Horodate;Type de releve;EAS F1;EAS F2;EAS F3;EAS F4;EAS F5;EAS F6;EAS F7;EAS F8;EAS F9;EAS F10;EAS D1;EAS D2;EAS D3;EAS D4;EAS T
2020-08-02T00:00:00+02:00;Arrêté quotidien;26575641;61358114;;;;;;;;;23340318;55115006;3235323;6243108;87933755
2020-08-03T00:00:00+02:00;Arrêté quotidien;26596316;61410796;;;;;;;;;23360993;55167688;3235323;6243108;88007112
2020-08-04T00:00:00+02:00;Arrêté quotidien;26622734;61471183;;;;;;;;;23387411;55228075;3235323;6243108;88093917
2020-08-05T00:00:00+02:00;Arrêté quotidien;26655274;61554080;;;;;;;;;23419951;55310972;3235323;6243108;88209354
2020-08-06T00:00:00+02:00;Arrêté quotidien;26685436;61611040;;;;;;;;;23450113;55367932;3235323;6243108;88296476
2020-08-07T00:00:00+02:00;Arrêté quotidien;26713239;61660027;;;;;;;;;23477916;55416919;3235323;6243108;88373266
2020-08-08T00:00:00+02:00;Arrêté quotidien;26739012;61703833;;;;;;;;;23503689;55460725;3235323;6243108;88442845
2020-08-09T00:00:00+02:00;Arrêté quotidien;26760436;61755138;;;;;;;;;23525113;55512030;3235323;6243108;88515574
2020-08-10T00:00:00+02:00;Arrêté quotidien;26782183;61799346;;;;;;;;;23546860;55556238;3235323;6243108;88581529
2020-08-11T00:00:00+02:00;Arrêté quotidien;26798249;61839644;;;;;;;;;23562926;55596536;3235323;6243108;88637893
2020-08-12T00:00:00+02:00;Arrêté quotidien;26819208;61886717;;;;;;;;;23583885;55643609;3235323;6243108;88705925
2020-08-13T00:00:00+02:00;Arrêté quotidien;26832192;61926216;;;;;;;;;23596869;55683108;3235323;6243108;88758408
2020-08-14T00:00:00+02:00;Arrêté quotidien;26849795;61983211;;;;;;;;;23614472;55740103;3235323;6243108;88833006
2020-08-15T00:00:00+02:00;Arrêté quotidien;26868831;62037680;;;;;;;;;23633508;55794572;3235323;6243108;88906511
2020-08-16T00:00:00+02:00;Arrêté quotidien;26883487;62092285;;;;;;;;;23648164;55849177;3235323;6243108;88975772
2020-08-17T00:00:00+02:00;Arrêté quotidien;26906229;62166045;;;;;;;;;23670906;55922937;3235323;6243108;89072274
2020-08-18T00:00:00+02:00;Arrêté quotidien;26929490;62220888;;;;;;;;;23694167;55977780;3235323;6243108;89150378
2020-08-19T00:00:00+02:00;Arrêté quotidien;26948644;62276625;;;;;;;;;23713321;56033517;3235323;6243108;89225269
2020-08-20T00:00:00+02:00;Arrêté quotidien;26970789;62317306;;;;;;;;;23735466;56074198;3235323;6243108;89288095
2020-08-21T00:00:00+02:00;Arrêté quotidien;26996320;62364633;;;;;;;;;23760997;56121525;3235323;6243108;89360953
2020-08-22T00:00:00+02:00;Arrêté quotidien;27032094;62416296;;;;;;;;;23796771;56173188;3235323;6243108;89448390
2020-08-23T00:00:00+02:00;Arrêté quotidien;27056921;62450904;;;;;;;;;23821598;56207796;3235323;6243108;89507825
2020-08-24T00:00:00+02:00;Arrêté quotidien;27083555;62489200;;;;;;;;;23848232;56246092;3235323;6243108;89572755
2020-08-25T00:00:00+02:00;Arrêté quotidien;27118962;62540723;;;;;;;;;23883639;56297615;3235323;6243108;89659685
2020-08-26T00:00:00+02:00;Arrêté quotidien;27140392;62576729;;;;;;;;;23905069;56333621;3235323;6243108;89717121
2020-08-27T00:00:00+02:00;Arrêté quotidien;27188514;62639575;;;;;;;;;23953191;56396467;3235323;6243108;89828089
2020-08-28T00:00:00+02:00;Arrêté quotidien;27225336;62725086;;;;;;;;;23990013;56481978;3235323;6243108;89950422
2020-08-29T00:00:00+02:00;Arrêté quotidien;27257511;62807732;;;;;;;;;24022188;56564624;3235323;6243108;90065243
2020-08-30T00:00:00+02:00;Arrêté quotidien;27315203;62905992;;;;;;;;;24079880;56662884;3235323;6243108;90221195
2020-08-31T00:00:00+02:00;Arrêté quotidien;27353627;62955302;;;;;;;;;24118304;56712194;3235323;6243108;90308929
2020-09-01T00:00:00+02:00;Arrêté quotidien;27379163;63032739;;;;;;;;;24143840;56789631;3235323;6243108;90411902
2020-09-02T00:00:00+02:00;Arrêté quotidien;27403476;63109830;;;;;;;;;24168153;56866722;3235323;6243108;90513306
2020-09-03T00:00:00+02:00;Arrêté quotidien;27424299;63200988;;;;;;;;;24188976;56957880;3235323;6243108;90625287
2020-09-04T00:00:00+02:00;Arrêté quotidien;27440704;63256608;;;;;;;;;24205381;57013500;3235323;6243108;90697312
2020-09-05T00:00:00+02:00;Arrêté quotidien;27458135;63305799;;;;;;;;;24222812;57062691;3235323;6243108;90763934
2020-09-06T00:00:00+02:00;Arrêté quotidien;27479154;63343471;;;;;;;;;24243831;57100363;3235323;6243108;90822625
2020-09-07T00:00:00+02:00;Arrêté quotidien;27521846;63387366;;;;;;;;;24286523;57144258;3235323;6243108;90909212
