Version	Date	Time	Author	Comment
222	06-Feb-2023	16:11	Philip Swannell	Added line numbers.
221	06-Feb-2023	16:09	Philip Swannell	Updated RegisterCSVWrite and docstring for CSVWrite.
220	06-Feb-2023	15:54	Philip Swannell	Removed redundant code.
219	06-Feb-2023	15:43	Philip Swannell	SkipToCol and NumCols arguments to CSVRead can now be provided as strings that match into the header row.
218	04-Jan-2023	16:21	Philip Swannell	Recorded performance of CSVWrite.
217	04-Jan-2023	16:20	Philip Swannell	Method MakeEncoder is now Private - avoids exposing as a worksheet function.
216	29-Nov-2022	14:40	Philip Swannell	Whitespace only.
215	29-Nov-2022	14:29	Philip Swannell	Bumped to v0.26
214	28-Nov-2022	14:25	Philip Swannell	Updated ToDo list.
213	28-Nov-2022	13:45	Philip Swannell	Recorded performance of CSVWrite. Edits to rubric at top of modCSVReadWrite.
212	28-Nov-2022	12:29	Philip Swannell	Added error handlers to a couple of methods.
211	28-Nov-2022	09:49	Philip Swannell	Bumped to v0.25
210	28-Nov-2022	09:37	Philip Swannell	Refactored CSVWrite.
209	27-Nov-2022	16:13	Philip Swannell	Changes in release 208 seem to have more than doubled the speed for CSVWrite for large files. Average time to execute CSVWrite(Data, FileName) when Data is obtained from RDataSets file military.csv (1.4 million rows, 7 cols) falls from 24 seconds to 11 seconds.
208	27-Nov-2022	15:39	Philip Swannell	Changes to CSVWrite, with hope of improved performance, but not yet tested.
207	27-Nov-2022	15:22	Philip Swannell	Added module modCSVWritePerformance, in order to benchmark changes to CSVWrite.
206	26-Nov-2022	18:17	Philip Swannell	Spell-checked this Audit sheet.
205	26-Nov-2022	17:58	Philip Swannell	Simplified method Encode, which now uses a dictionary to handle encoding of Booleans and errors.
204	24-Nov-2022	14:05	Philip Swannell	Bumped to v0.24
203	24-Nov-2022	13:49	Philip Swannell	Changed CSVWrite so that when called on PC for which the display language of VBA is not English, then errors are written to file using the English-language representation (e.g. #SPILL!). This makes round-tripping work correctly.
202	18-Nov-2022	12:22	Philip Swannell	Further changes to ReThrow. Error strings from CSVRead and CSVWrite are now concise unless m_ErrorStringsEmbedCallStack is set to True.
201	18-Nov-2022	11:13	Philip Swannell	Change to expected results for tests to soft code the string representation of True and False, so that tests pass on non English language PCs.
200	18-Nov-2022	10:27	Philip Swannell	a) Removed module modCodeFromStackOverflow.<LF>b) Simplified methods Throw and ReThrow, as a consequence error string now include the "call stack".<LF>c) Changes to tests such that if observed and expected are both error strings that differ but have the same "root cause" then the test passes but with a warning printed to the VBA immediate window.<LF>d) Removed declared-but-unused variables (via MZTools).<LF>e) Changes to round trip testing to pass in TrueStrings and FalseStrings such that tests should work on non English-language PC.
199	17-Nov-2022	18:33	Philip Swannell	Added Test254 for a file containing only two characters - a carriage return and a line feed, but test currently fails - need to investigate.
198	17-Nov-2022	18:15	Philip Swannell	Change to (hopefully) fix bug on non English-language version of Excel. Passing ConvertTypes as True failed on PC with display language of German. Not yet tested though.
197	09-Nov-2022	22:43	Philip Swannell	Code comments only.
196	09-Nov-2022	18:32	Philip Swannell	Bumped to v0.23
195	09-Nov-2022	18:21	Philip Swannell	Early bind to ADODB. Will require change to installation instructions.
194	09-Nov-2022	18:00	Philip Swannell	Changes on sheet CSVWriteTests.
193	09-Nov-2022	17:56	Philip Swannell	Bumped to v0.22
192	09-Nov-2022	17:52	Philip Swannell	Code comments only.
191	09-Nov-2022	17:07	Philip Swannell	Ran a new set of performance tests. See sheet 'Performance (10)'.
190	09-Nov-2022	15:18	Philip Swannell	Re-ordered methods in modCSVReadWrite.
189	09-Nov-2022	14:49	Philip Swannell	Added line numbers to modCSVReadWrite. These will appear in the call stack only for unanticipated errors, i.e. the kind we need to debug.
188	09-Nov-2022	14:22	Philip Swannell	Reformed error handling in all the modules.
187	09-Nov-2022	10:25	Philip Swannell	Reformed error handling. Error handlers in all methods are now simpler just calling new method ReThrow. We now no longer see the "call stack" in the return from CSVRead if the error is "anticipated" (mostly input validation) but we do see the call stack for unanticipated errors.
186	08-Nov-2022	19:43	Philip Swannell	Ensure streams are always closed.
185	08-Nov-2022	19:29	Philip Swannell	CSVRead now always uses ADODB text stream (rather than ADODB for some encodings and Scripting.TextStream for other encodings). Refactored and simplified.
184	08-Nov-2022	16:12	Philip Swannell	Removed Stop statement.
183	08-Nov-2022	15:54	Philip Swannell	Added timer functions tic and toc.
182	08-Nov-2022	15:07	Philip Swannell	Optimised ReadAllFromStream - ChunkSize now set to 32,768.
181	07-Nov-2022	19:48	Philip Swannell	Charset is now "windows-1252" for ANSI files.
180	07-Nov-2022	16:36	Philip Swannell	Ran MZTools -> Clean Project.
179	07-Nov-2022	11:03	Philip Swannell	Refactored recent changes to modCSVReadWrite.
178	07-Nov-2022	10:10	Philip Swannell	Removed worksheet UnicodeTests, have replaced by tests 249 to 252.
177	06-Nov-2022	18:21	Philip Swannell	Changes to method ReadAllFromStream - should give a performance improvement, but need to test whether that is the case.
176	06-Nov-2022	11:07	Philip Swannell	Added worksheet UnicodeTests
175	06-Nov-2022	09:09	Philip Swannell	Refactored method ParseEncoding. Previously there were two places in the code where we decided whether to use a TextStream or ADODB (according to whether the Encoding argument had been provided or had to be guessed\inferred), now only one place.
174	06-Nov-2022	08:23	Philip Swannell	Reverted the 4 class modules (garcia code) to as they were in version 145. They had since been amended by MZTools\my AmendVBA code. Did so because my function wrap_ws_garcia has stopped working...
173	05-Nov-2022	09:09	Philip Swannell	Tweak to method ReadAllFromStream.
172	04-Nov-2022	19:37	Philip Swannell	Improved validation of argument ShowMissingsAs.
171	04-Nov-2022	17:18	Philip Swannell	Added tests for CSVWrite. modCSVWrite now uses consts DQ and DQ2 throughout.
