,"Audit",,,,,,
,,,,,,,
,"All 252 rows shown.",,,,,,
,"","","","","",,"Check list for release"
,"Version","Date","Time","Author","Comment",,"Tests pass (Button Test on worksheet Test)"
,252,2024-06-26,0.692002314812271,"Philip Swannell","Further changes to make testing on Word, Powerpoint etc. easier.",,"Round trip tests pass (VBA method RoundTripTest)"
,251,2024-06-26,0.668634259258397,"Philip Swannell","Changes in other modules to make it simpler to run tests when the host application is not Excel. Bumped to 0.31.",,"Recalculate worksheet CSVWriteTests"
,250,2024-06-26,0.604918981480296,"Philip Swannell","Changes so that the code of modCSVReadWrite compiles when the host application is Word or Powerpoint rather than Excel.",,"Recalculate worksheet DateParsingTest"
,249,2023-12-02,0.404907407406427,"Philip Swannell","Bumped to 0.30.",,"MZTools Review code quality"
,248,2023-12-02,0.388888888890506,"Philip Swannell","SCVWrite now supports UTF-8NOBOM and UTF-16NOBOM as Encoding argument.",,"No links to other workbooks"
,247,2023-10-26,0.512777777774318,"Philip Swannell","Code comments only.",,"modCSVReadWrite has line numbers"
,246,2023-10-26,0.498171296298096,"Philip Swannell","CSVWrite now supports ""Raw"" as value for QuoteAllStrings argument.",,"No line numbers in other modules."
,245,2023-10-26,0.409305555556784,"Philip Swannell","Added tests 272 to 274 to test behaviour of new ""K"" option to ConvertTypes. Updated ""docstrings"" for CSVRead and CSVWrite. Updated method RegisterCSVRead.",,"No Stop Resume statements left over from debugging"
,244,2023-10-23,0.690902777780138,"Philip Swannell","Rebased tests 178, 207 & 208. Necessary thanks to changes in file https://vincentarelbundock.github.io/Rdatasets/csv/carData/TitanicSurvival.csv. Example changes: top left element was null string is now text ""rownames"", yes and no previously appeared quoted, now unquoted.",,"Updated ref at top of modules to version numbers. NB two edits required."
,243,2023-10-23,0.688229166669771,"Philip Swannell","Re-arranged file locations.",,"modCSVReadWrite has no dependencies on other modules - test by copying to new project and compiling."
,242,2023-03-06,0.705763888887304,"Philip Swannell","Deleted worksheets NotRFC4180, Demo, Col-by-col, Sheet1, Notes",,
,241,2023-03-02,0.505555555559113,"Philip Swannell","Tweaks to TestImpactOfTypeConversion.",,"ToDo"
,240,2023-03-02,0.464050925926131,"Philip Swannell","Added method TestImpactOfTypeConversion",,"Optimise speed for very small files?"
,239,2023-03-02,0.445162037038244,"Philip Swannell","Improved error message when file is over 2GB.",,"Change CSVWrite to use ADODB? See http://www.sysmod.com/ADOStream.bas"
,238,2023-03-01,0.846192129632982,"Philip Swannell","Added two more tests - Test270 & Test271, testing ""date format conflicts"".",,"My Repo"
,237,2023-03-01,0.459652777775773,"Philip Swannell","Refactor test code - now easy to run a subset of the tests.",,"https://github.com/PGS62/VBA-CSV"
,236,2023-02-28,0.448194444441469,"Philip Swannell","Re-wrote method CastToDouble for better speed.",,"Promotion"
,235,2023-02-27,0.862777777780138,"Philip Swannell","Fix to method ParseDateFromat.",,"https://dev.to/nastyox1/8-concrete-steps-to-get-stars-on-github-355c"
,234,2023-02-27,0.802569444444089,"Philip Swannell","Ran ""AmendVBA"" script.",,"Stackoverflow questions"
,233,2023-02-27,0.798252314816636,"Philip Swannell","Tweak to CastToDouble.",,"https://stackoverflow.com/questions/12259595/load-csv-file-into-a-vba-array-rather-than-excel-sheet?"
,232,2023-02-27,0.700011574073869,"Philip Swannell","Tweak to CastISO8601.",,"https://stackoverflow.com/questions/68354563/difficulty-forcing-vba-to-parse-dates-in-us-uk-format"
,231,2023-02-27,0.697453703702195,"Philip Swannell","Tweak to ParseDateFormat.",,"https://stackoverflow.com/questions/6780765/parse-csv-ignoring-commas-inside-string-literals-in-vba"
,230,2023-02-27,0.532916666663368,"Philip Swannell","Performance improvements for date parsing.",,
,229,2023-02-24,0.76200231481198,"Philip Swannell","Work on date parsing, including new worksheet DateParsingTest",,"Other resources"
,228,2023-02-24,0.510914351849351,"Philip Swannell","Work on date parsing, including new worksheet DateParsingTest",,"Python"
,227,2023-02-24,0.482256944444089,"Philip Swannell","Work on date parsing, including new worksheet DateParsingTest",,"https://docs.python.org/3/library/csv.html"
,226,2023-02-24,0.440486111110658,"Philip Swannell","Work on date parsing, including new worksheet DateParsingTest",,"Julia"
,225,2023-02-23,0.800115740741603,"Philip Swannell","Correction to previous release.",,"https://csv.juliadata.org/stable/"
,224,2023-02-23,0.785405092596193,"Philip Swannell","Correction to previous release.",,"R"
,223,2023-02-23,0.749791666668898,"Philip Swannell","Improved parsing of dates: a) Now have constants defining the range of years to which 2-digit years are converted. b) Fixed the possibility for strings to be interpreted as dates even though they did not match the specified DateFormat.",,"https://www.rdocumentation.org/packages/data.table/versions/1.14.0/topics/fread"
,222,2023-02-06,0.674849537033879,"Philip Swannell","Added line numbers.",,"https://raw.githubusercontent.com/plotly/datasets/master/mtcars.csv"
,221,2023-02-06,0.673113425924385,"Philip Swannell","Updated RegisterCSVWrite and docstring for CSVWrite.",,"Javascript"
,220,2023-02-06,0.663043981483497,"Philip Swannell","Removed redundant code.",,"https://www.papaparse.com/"
,219,2023-02-06,0.654918981483206,"Philip Swannell","SkipToCol and NumCols arguments to CSVRead can now be provided as strings that match into the header row.",,
,218,2023-01-04,0.681435185186274,"Philip Swannell","Recorded performance of CSVWrite.",,"Article on security vulnerability of CSV files"
,217,2023-01-04,0.680752314816345,"Philip Swannell","Method MakeEncoder is now Private - avoids exposing as a worksheet function.",,"https://www.contextis.com/en/blog/comma-separated-vulnerabilities"
,216,2022-11-29,0.611539351848478,"Philip Swannell","Whitespace only.",,
,215,2022-11-29,0.604004629632982,"Philip Swannell","Bumped to v0.26",,"Parsing non-standard CSV"
,214,2022-11-28,0.600717592591536,"Philip Swannell","Updated ToDo list.",,"https://github.com/osiegmar/JavaCsvComparison"
,213,2022-11-28,0.573553240741603,"Philip Swannell","Recorded performance of CSVWrite. Edits to rubric at top of modCSVReadWrite.",,
