"Version","Date","Time","Author","Comment"
136,11-Oct-2021,19:11:11,"Philip Swannell","CSVWrite now accepts zero-dimensional Data."
135,08-Oct-2021,19:29:27,"Philip Swannell","More performance testing"
134,08-Oct-2021,16:24:55,"Philip Swannell","Tweaked method PrepareForRelease."
133,08-Oct-2021,11:41:59,"Philip Swannell","Improved error handling in method Download."
132,08-Oct-2021,10:55:27,"Philip Swannell","Method TimeParsers now adjusts for the overhead of calling ElapsedTime within the timing loop."
131,07-Oct-2021,22:33:34,"Philip Swannell","Removed line numbers."
130,05-Oct-2021,16:25:18,"Philip Swannell","Added another VBA CSV parser to those tested by Performance-testing code. It's the top-voted answer on the most relevant StackOverflow question (at https://stackoverflow.com/questions/12259595/load-csv-file-into-a-vba-array-rather-than-excel-sheet?)"
129,04-Oct-2021,10:06:47,"Philip Swannell","Work on non-RFC4180"
128,01-Oct-2021,10:27:57,"Philip Swannell","Added sheet NotRFC4180."
127,30-Sep-2021,15:54:10,"Philip Swannell","Re-ran performance tests. Strangely there seems to have been a regression in Julia's performance..."
126,30-Sep-2021,14:27:13,"Philip Swannell","Changes prompted by RubberDuck analysis."
125,30-Sep-2021,13:47:19,"Philip Swannell","Changes prompted by RubberDuck analysis."
124,30-Sep-2021,08:32:28,"Philip Swannell","Re-imported sdkn104 code also."
123,30-Sep-2021,08:28:23,"Philip Swannell","Re-imported ws_garcia code - I must have inadvertantly changed it when making the Rubberduck-prompted changes and somehow broke it."
122,29-Sep-2021,19:38:29,"Philip Swannell","Changes prompted by RubberDuck analysis."
121,29-Sep-2021,18:17:27,"Philip Swannell","Changes prompted by RubberDuck analysis."
120,29-Sep-2021,16:59:25,"Philip Swannell","Changes prompted by RubberDuck analysis."
119,29-Sep-2021,12:42:18,"Philip Swannell","First GIF revisited."
118,28-Sep-2021,20:01:25,"Philip Swannell","Added hyperlinks etc on this sheet."
117,28-Sep-2021,17:01:14,"Philip Swannell","Work on third GIF"
116,28-Sep-2021,11:30:11,"Philip Swannell","Work on second GIF"
115,28-Sep-2021,11:11:03,"Philip Swannell","Work on Titanic GIF."
114,28-Sep-2021,10:10:24,"Philip Swannell","Merged src and dev folders. Deleted variable HasBOM as no longer needed."
113,27-Sep-2021,19:16:23,"Philip Swannell","Arg DateFormat to CSVRead now defaults to Y-M-D."
112,27-Sep-2021,18:54:48,"Philip Swannell","Changes to sheet GIF."
111,27-Sep-2021,18:27:39,"Philip Swannell","Changes to sheet GIF."
110,27-Sep-2021,17:30:01,"Philip Swannell","Changes to sheet GIF."
109,25-Sep-2021,19:33:52,"Philip Swannell","Added sheet GIF that works in conjuction with workbook VBA-CSV-GIFMaker.xlsm"
108,24-Sep-2021,17:34:00,"Philip Swannell","Added code to generate CSVReadTitanic.gif."
107,24-Sep-2021,13:05:07,"Philip Swannell","Added tests for breach of 32k limit on field length when calling from Excel."
106,24-Sep-2021,12:46:59,"Philip Swannell","Sorted methods in module modCSVReadWrite"
105,24-Sep-2021,10:56:00,"Philip Swannell","Work on 32k/255 limit for returning strings to Excel"
104,23-Sep-2021,14:01:02,"Philip Swannell","Late bind to ADODB. It would make installation simpler if late bound to Scripting run time and regular expressions but that I suspect that would hit performance."
103,23-Sep-2021,13:13:34,"Philip Swannell","CSVWrite now takes argument Encoding rather than Unicode."
102,23-Sep-2021,10:05:55,"Philip Swannell","Added to TODO list."
101,22-Sep-2021,11:58:31,"Philip Swannell","Deleted older of the two Performance sheets."
